Bandwidth (Mbps),jitter (ms),Lost,Total,Loss Rate (%),Latency_avg(ms)
25.4,0.114,10,2172,0.46,8.228
24.3,0.121,12,2079,0.58,62.967
24.3,0.133,11,2078,0.53,130.445
24.3,0.107,11,2078,0.53,198.175
24.2,0.121,93,2148,4.33,259.229
19.4,0.179,579,2230,25.96,269.131
19.0,0.178,610,2227,27.39,269.337
18.9,0.16,619,2229,27.77,269.15
18.9,0.175,623,2230,27.94,269.291
18.9,0.195,617,2228,27.69,269.38
18.6,0.28,653,2231,29.27,269.547
19.7,0.212,552,2229,24.76,269.311
19.5,0.181,570,2228,25.58,269.113
19.1,0.194,602,2229,27.01,269.409
30.9,0.155,28,2652,1.06,176.646
27.3,1.248,11,2329,0.47,20.841
26.8,0.049,23,2298,1.00,5.878
26.1,0.046,10,2229,0.45,3.733
26.0,0.044,16,2229,0.72,3.719
26.1,0.037,12,2230,0.54,3.641
25.6,0.072,55,2228,2.47,14.218
26.2,0.033,4,2230,0.18,3.739
24.4,0.357,11,2085,0.53,6.975
15.2,0.175,317,1610,19.69,249.29
14.7,0.158,979,2231,43.88,346.17
14.2,2.544,941,2145,43.87,346.111
15.6,0.175,984,2312,42.56,348.117
20.4,0.176,493,2230,22.11,345.98
24.3,0.192,163,2228,7.32,345.633
24.4,0.209,153,2231,6.86,345.766
24.0,0.232,184,2227,8.26,345.752
24.2,0.174,169,2230,7.58,345.612
24.3,0.172,162,2230,7.26,345.925
24.2,0.174,169,2227,7.59,345.572
24.2,0.174,175,2232,7.84,345.663
24.2,0.205,172,2227,7.72,345.777
32.6,0.102,72,2848,2.53,130.868
24.4,0.114,10,2081,0.48,101.492
24.2,0.122,18,2079,0.87,168.296
24.3,0.135,16,2079,0.77,236.14
24.1,0.128,184,2230,8.25,269.215
24.0,0.134,187,2228,8.39,269.03
24.0,0.121,190,2231,8.52,269.191
24.0,0.119,189,2228,8.48,269.21
22.7,0.176,295,2229,13.23,269.192
18.6,0.191,651,2230,29.19,269.29
19.4,0.172,576,2228,25.85,269.163
18.9,0.143,626,2230,28.07,269.386
19.1,0.179,601,2228,26.97,269.373
19.5,0.174,576,2230,25.83,269.316
18.6,0.21,644,2228,28.90,269.232
18.4,0.155,666,2229,29.88,269.404
19.1,0.197,611,2231,27.39,269.285
21.9,0.157,477,2343,20.36,259.716
31.2,0.141,21,2678,0.78,117.189
26.4,0.045,12,2257,0.53,4.139
26.1,0.05,10,2229,0.45,3.679
26.0,0.044,16,2229,0.72,3.731
26.1,0.046,9,2229,0.40,4.218
26.1,0.049,11,2229,0.49,3.663
26.0,0.04,22,2229,0.99,3.676
26.1,0.045,8,2229,0.36,3.706
26.1,0.04,11,2230,0.49,3.678
26.0,0.063,15,2229,0.67,3.706
26.0,0.048,20,2229,0.90,3.666
26.0,0.042,15,2229,0.67,3.669
24.5,0.224,10,2095,0.48,9.891
19.8,0.169,85,1771,4.80,180.658
18.9,0.176,624,2229,27.99,269.198
18.7,0.191,636,2230,28.52,269.238
18.3,0.216,676,2229,30.33,269.308
22.8,0.136,287,2230,12.87,269.177
24.0,0.122,189,2228,8.48,269.181
23.8,0.146,207,2229,9.29,269.095
23.9,0.134,199,2230,8.92,269.148
28.8,241.178,333,2785,11.96,225.524
25.8,0.2,0,2081,0.00,65.49
24.3,0.162,22,2090,1.05,117.334
22.6,0.17,73899,534988,13.81,191.108
